name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed,X,Y
"Orr, Angelique V.",,1144,Y,Manhattan,Central Park,M010,7,6,w. walk at 84th st. - sgrace records,N,,,seat,,,,,,,,,,,,,,,,,,,,
Chinese Religion,chinese religion,243,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN INSTITUTE MUSEUM; Eastern Parkway near Washington Avenue,Y,1909,,Statue,,,Indiana limestone,,,Karl Bitter,,Purchase,,,,,,,,,Sculpture,,,
Roman Statesman,,1371,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN MUSEUM; Eastern Parkway,Y,1909,,Statue,,,Indiana Limestone,,,John Gelert,,purchase  $3000.,,,,,,,,,,,,
Port Richmond High School Plaque,,1209,N,Staten Island,,,0,3,,Y,,,,,,,,,,,,,,,,,,,,,,,
Neptune Figure,Neptune Figure,1762,Y,Staten Island,Sailors Snug Harbor,R116,1,49,"Snug Harbor Cultural Center, currently in storage until move into New Administration Building is complete.",Y,1893,ca. 1893,Male figure (heroic scale),,,Zinc,,John W. Fiske Iron Works,,,Sailors' Snug Harbor (home for retired sailors),,,,,,,,,,,,
William Cullen Bryant,"Bryant, William Cullen",1932,Y,Manhattan,Central Park,M010,7,6,Metropolitan Museum of Art,L,1874,"October 1, 1867",bust (heroic scale),"h 3'11"" x w 2'8¼"" x d 1'11""",MMA,bronze,"L.A. Amouroux, New York",,Launt Thompson,,,,,,,,,,,,,,
College of the City of New York,college of the city of new york,286,O,Manhattan,,,9,7,MAIN BUILDING; Convent Avenue and W. 137th Street,Y,,,Tablet,,,Bronze,,,,George B. Post and Sons,Purchase,,,,,,,,,,,,
Delacorte Clock,Delacorte Musical Clock,378,Y,Manhattan,Central Park,M010,7,6,Main walkway between Zoo and Children's Zoo,Y,"June 24, 1965",1965,Three-tiered mechanical clock; bottom level  has six animal figures marching  around clock tower in igrillwork frame; clock faces above the animals; clock tower topped by  two monkeys and  bell; clock is on top  of arched gateway; two plaques,"H: 18'6"" W: 23'4"" D: 5'9""; Each plaque H: 7"" W: 9""",Delacorte CPC,Animals and bell--bronze; Grillwork--iron; Gateway--brick and limestone,,,Andrea Spadini,Edward C. Embury,George T. Delacorte / George Delacorte Fund,,,,,Y,,,,Animal: other,,992240.7468018085,219119.90662615
American Museum of Natural History Plaque,American Museum of Natural History Plaque,26,O,Manhattan,Theodore Roosevelt Park,M053,7,6,"Power and Service Building, Columbus Avenue at 80th Street",M,1931,ca. 1931,Plaque,,,Bronze,,,,Lowbridge and Livingston,$100,,,,,,,,,,,,
spanish war memorial,,1478,N,the Bronx,,,1,17,VETERANS MEMORIAL COURT; bronx county building,Y,"June 10, 1951 (?)",,tablet,,,bronze,,,,,"bx cnty cncl, united span war vets",,,,,,,,,"War Memorial, Spanish-American War",,,
Eagles,eagles (8),426,Y,Manhattan,Central Park,M010,7,6,"Central Park Wildlife Center, Fifth Avenue at 64th Street",Y,1941,,8 sculptured eagles,"H: 4'10"" W: 5'2"" D: 2'1""",,Granite,,,Rochette and Parzini,,,,,,,Y,,,,Animal: other,,992037.9269974679,218969.00174422562
richmond hill high school,,1336,N,Queens,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
"graham, david",,608,N,Manhattan,,,1,1,"COUNTY COURT HOUSE, ROOM 216; chambers and centre st.",Y,,,plaque,,,,,,,,,,,,,,,,,,,,
Christopher Columbus,"Columbus, Christopher",297,Y,Manhattan,Central Park,M010,7,6,South end of Mall,Y,"May 12, 1892",1892,Standing figure (over life size) on pedestal,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",CPC,"Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,Jeronimo Sunol,Napoleon Le Brun,New Yorkers of the New York Genealogical Society,,,,,Y,,,,"Sculpture, Explorer",,991780.5853205472,219788.09295381606
Bird Flying Machine,Bird Flying Machine,118,Y,Manhattan,Central Park,M010,7,6,"Arsenal South Roof, southwest corner facing southwest turret",Y,1991,1973,Figure on integral plinth,"Figure H: 2'9"" W: 4'; weight: 130 pounds",,Bronze,Modern Art Foundry,,Dolly Hellman Perutz,,Tino Perutz,,,,,Y,,,,"Sculpture, Abstract, Animal: other",,992196.2675600499,218919.85387665033
Persian Philosophy,,1176,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN MUSEUM; eastern parkway,Y,1909,,,,,indiana limestone,,,edmond t. quinn,,purchase. $3000.,,,,,,,,,,,,
Titanic Memorial Lighthouse,,1555,N,Manhattan,,,1,1,S. ST SEAPORT MUSEUM (SEE MEMO; orig. atop seamen's church inst.,Y,"1913, moved 1968",,"Copper lighthouse, painted white",,,Copper,,,,,kaiser nelson steel & salvage co.,,,,,,,,,,,,
Waldo Hutchins,,761,Y,Manhattan,Central Park,M010,7,6,5th Avenue at 72nd Street,Y,1932,,Exedra with sundial,"H: 3'7"" W: 27'3"" D:16'4""",CPC,"Concord white granite, bronze",,,Piccirilli Brothers (exedra); Paul Manship (bronze),Eric Gugler,August S. Hutchins,,,,,Y,,,,Civic Leader,,993348.8075778037,220807.81401146948
Frederick H.A. Von Humboldt,,754,O,Manhattan,Theodore Roosevelt Park,M053,7,6,Natural History Museum; Rotunda,Y,1853,,portrait bust on pedestal,,,white marble,,,William Couper,,,,,,,,,,,,,,
Comptroller,,308,N,Manhattan,,,1,1,MUNICIPAL BDLG.; Chambers and Center Streets,Y,1912,,"relief, 24 panels",,,Maine granite,,,Adolph Alexander Weinman,,purchase,,,,,,,,,Sculpture,,,
"washington, george murray's whay",,1679,N,Manhattan,,,1,1,WALL AND SOUTH STS.,N,1930,,"plaque, framed with marble","3'6""h x 2'6""w",,"bronze, alps green marble",,,,,sons of the revolution,,,,,,,,,,,,
japanese art,,799,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN MUSEUM; eastern parkway,Y,1909,,statue,,,indiana limestone,,,janet scudder,,"purchase, $3000.",,,,,,,,,,,,
Beacon,,1971,Y,Brooklyn,,B432,10,43,"69th Street Pier (American Veterans Memorial Pier), Bay Ridge",Y,"May 16, 2005",2004,"Over-life size sculpture, symbolic speaking-trumpet, with interior lamp; on concrete plinth",H: 25'; Circumference at base: 8',"Endowment fund held by CPF, $40,000 principle",Bronze,"Bedi-Makky Foundry, Greenpoint, Brooklyn",,Robert Ressler,,"Brooklyn Remembers, Inc.",,,Brooklyn Remembers (A Memorial to the Victims of 9/11),,Y,,,,9/11,,973774.9349802136,172221.09819297493
Samuel Finley Breese Morse,,1063,Y,Manhattan,Central Park,M010,7,6,E. 72nd St. and 5th Avenue entrance (formerly in the Mall),Y,"June 10, 1871",,Portrait statue on pedestal,"H: 13' W: 5'6"" D: 5'",CPC,"Bronze, Quincy granite",National Fine Art Foundry (Maurice J. Power),,Byron M. Pickett,,Public subscription,,,,,Y,,,,Scientist/Inventor,,993233.0778223872,220735.48869681358
Women's Rights Pioneers Monument,,2216,Y,Manhattan,,M010,7,6,Central Park Mall (at about 68th Street),Y,"August 26, 2020",2020,Group of one standing and two seated figures (over life size) on integral plinth and pedestal,"Group: 9'4""H x 11'4""'W x 6'10""D; Pedestal: 4'8""H x 11'8""W x 7'2""D",,Bronze; Barre grey granite (honed),Polich Tallix,,Meredith Bergmann,,Monumental Women,,UAP and Kelco,,,Y,08/14/2020,,,"Sculpture, Women, Writer, Civic Leader, Portrait, Portrait",,991899.887575388,220083.78560389578
greek science,,633,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN MUSEUM; eastern parkway,Y,1909,,statue on roofline,,,indiana limestone,,,kenyon cox,,purchase; $3000.,,,,,,,,,,,,
Seventy Second Street Playground,,1428,Y,Manhattan,Central Park,M010,7,6,72nd Street and 5th Avenue,Y,1970,,Tablet recessed in concrete wall,"H: 10"" W: 10""",,"Brass plate, etched letters",,,,Richard Dattner,Louis & Bessie Adler Foundation,,,,,Y,,,,,,993194.6025056392,220609.56867305934
Hebrew Law,,693,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,Brooklyn Museum; Eastern Parkway,Y,1909,,Statue,,,Indiana limestone,,,Henry Augustus Lukeman,,Purchase,,,,,,,,"$3,000",,,,
Still Hunt,Still Hunt,1506,Y,Manhattan,Central Park,M010,7,6,"East Drive at 76th Street,  overlooking road",Y,1883,circa 1883,Crouching panther (over life-size) on boulder,"H: 2'7"" L: l 5'",Central Park Conservancy,"Bronze, natural rock",M.J. Power,,Edward Kemeys,,,,,,,Y,,,,,,993364.8003279716,222286.50724831223
Simon Bolivar Monument,"Bolivar, Simon",132,Y,Manhattan,Central Park,M010,7,6,Central Park South and Avenue of the Americas,Y,"April 19, 1921",1919,Equestrian statue (heroic scale) on pedestal with four coats of arms,"Statue H: 13'6"" L: 13'; Pedestal H: 20'4"" L: 12'6"" W: 6'1""",CPC,Statue and coats of arms--bronze; Pedestal--black granite (polished),,,Sally Jane Farnham,Clarke & Rapuano,Government of Venezuela,Y,Central Park Conservancy,,,Y,,,,"Sculpture, Civic Leader, Politcal Figure, Animal: equestrian, Politcal Figure",,990956.6168241352,218238.8148843944
"Webb, Alexander Stewart",,1689,N,Manhattan,,,9,7,CITY COLLEGE; Convent Ave. at 138th to 140th Streets,Y,1917,,portrait statue on pedestal,"13'6""h x 4'w x 5'd",,"bronze, terra cotta",,,J. Massey Rhind,,"alumni gift $3,200",,,,,,,,,,,,
Elections,,441,N,Manhattan,,,1,1,MUNICIPAL BUILDING; Chambers Street and Center Street,Y,1912,,relief,,,granite,,,Adolph Alexander Weinman,,purchase,,,,,,,,,,,,
Drinking Fountain,drinking fountain,409,Y,Manhattan,Central Park,M010,7,6,"West Drive, 92nd Street, near tennis house",Y,1991,,Drinking fountain,,,Black granite (rough cut & polished),,,,,72 Street Marathoning & Pasta Club,,,,,Y,,,,,,994245.054472968,226875.76283356547
Doris C. Freedman Plaza Plaque,"Freedman, Doris Chanin",1773,Y,Manhattan,Central Park,M010,7,6,Scholars Gate,Y,ca. 1981,ca. 1981,Plaque,"1'4"" x 1'9""",,Bronze,,Precision Engraving,,,Susan Freedman,,,,,Y,,,"$1,200","Artist, Public Servant",,991833.8457127213,218060.08230222762
public school #5,,1268,N,Queens,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
roman emperor,,1367,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN MUSEUM; eastern parkway,Y,1909,,,,,indiana limestone,,,john gelert,,purchase  $3000.,,,,,,,,,,,,
William T. Stead Memorial,"Stead, William  T.",1500,Y,Manhattan,Central Park,M010,7,6,"Fifth Avenue at 91st Street, against park wall",Y,"July 5, 1920",1920,"Bas-relief plaque on stele: plaque has enframed bust in profile facing proper left, festoons of foliage above and beside frame; standing figures, knight and angel (reduced size), support inscription","Plaque H: 4' W: 5'; stele  H: 7'2"" W: 6'",CPC,"Bronze, Indiana limestone",,,George William Frampton,Carrere and Hastings,Committee of the American Stead Memorial,,,,,Y,,,$1600,"Labor, Civic Leader, Allegorical",,995845.7212191373,225177.26262164116
Chinese Law,chinese law,241,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN INSTITUTE MUSEUM; Eastern Parkway near Washington Avenue,Y,1909,,Statue,,,Indiana limestone,,,Karl Bitter,,Purchase,,,,,,,,,,,,
Naturalists Gate,,1086,Y,Manhattan,Central Park,M010,7,6,Central Park West at West 77th St.,Y,,,Tablet,,,Bronze,,,,,,,,,,Y,,,,,,991610.5613823831,223236.21565072238
Giuseppe Mazzini,,992,Y,Manhattan,Central Park,M010,7,6,West Drive opposite 62nd St.,Y,1878,,Portrait bust on pedestal,"H: 14'1"" W: 3'10"" D: 3'10""",CPC,"Bronze, Westerly granite",G. Fisher & Bros Brnz Works,"F. Malnati, Woodlawn, NY",Giovanni Turini,F. Matriati,Italians in the United States of America,,,,,Y,,,,Politcal Figure,,990742.712068215,221000.7211059779
public school #114,,1245,N,Manhattan,,,1,1,"OAK, OLIVER AND JAMES ST.",Y,1922,,tablet,,,bronze,williams co.,,,,gift. $300,,,,,,,,,,,,
"Wood, James Rushmore",,1725,N,Manhattan,,,6,4,BELLEVUE HOSPITAL; foot of e. 26th st.,Y,,,tablet,,,,,,,,gift,,,,,,,,,,,,
summer,,1523,N,Manhattan,,,5,2,APPELLATE COURT-MAD. AVE. FAC.; madison ave at 25th st.,Y,1899,,caryatid,,,,,,thomas shields clarke,,purchase  $4000.,,,,,,,,,,,,
Lions,,925,O,the Bronx,Bronx Park,X002,14,12,Bronx Zoo; Lion House,Y,1860,,4 figures,,,,,,Eli Harvey,,Purchase,,,,,,,,,,,,
public school #129,,1247,N,Brooklyn,,,0,0,QUINCY ST. NEAR STUYVESANT AVE,Y,1920,,tablet,,,bronze,j. & r. lamb,,,,gift. $1000,,,,,,,,,,,,
Fort  Greene Park Cannons,,2111,Y,Brooklyn,,B032,2,35,Visitor Center,Y,,1861,Two cannons,,,Iron,West Point Foundry,,"Robert Parker Parrott, Designer",,,,,,,Y,,,,,,991127.3681230545,191416.41839806736
Tigress and Cubs,,1547,Y,Manhattan,Central Park,M010,7,6,Central Park Zoo;  intelligence garden (see memo),Y,"October or November, 1867",,Animal group,"6'3""h x 3'w x 8'6""",CPC,"Bronze, Deer isle granite","F. Barbedienne, Fondeur, Paris",,Auguste Cain (1822-1894),,Citizens (?),,,,,Y,,,,,,991920.6664052159,218888.75059239566
Literary Walk Restoration Marker,Literary Walk Restoration Marker,928,Y,Manhattan,Central Park,M010,7,6,South end of Mall,Y,1990,1990,Sidewalk intaglio with inset lettering and compass motif,"L: 18'10"" W: 12'5"" (total)",,"Red, black and gray granite; inset lettering and compass motif--bronze",,,,,Anne Burnett and Charles Tandy Foundation,,,,,,,,,,,991825.501241222,219824.93539981544
Fred Lebow,,1997,Y,Manhattan,,M010,7,6,East Drive near 90th Street (east of reservoir),Y,1994,1994,Life-size sculpture,,,Bronze and Pennsylvania black granite,,,Jesus Ygnacio Dominguez,,New York City Marathon Tribute Committee,,,,,Y,,11/01/2001,,,,995619.8269858807,224881.85048280656
Frederick Douglass Memorial,,2098,Y,Manhattan,,M010,7,6,Central Park North and Frederick Douglass Boulevard,Y,"September 20, 2011",,"Heroic scale bronze figure, bronze fountain wall, and decorative paving and seating blocks",,,Bronze and granite,Polich-Tallix,,Gabriel Koren (figure) and Algernon Miller (site and fountain designer),Quennell Rothschild & Partners,"Percent for Art, Department of Cultural Affairs",,,,,Y,,,,"Educator, Portrait, Public Servant, Writer, Civic Leader, Politcal Figure",,995833.4344983101,230952.56931248307
Mrs. Henry C. Russell ASPCA Horse Trough,,2185,Y,Manhattan,,M010,,6,Center Drive at 59th Street,Y,,,,,,,,,,,,,,,,N,,,,Animal: equestrian,,990817.1968273818,218401.8654113114
"jefferson, thomas",,808,N,Manhattan,,,9,7,CCNY - HALL OF PATRIOTS; convent ave at 139th st,Y,1926,,bust,,,bronze,,,robert i. aitken,,"alumni assn of college, $2000",,,,,,,,,,,,
Johann Christoph Friedrich Von Schiller,,1638,Y,Manhattan,Central Park,M010,7,6,North end of mall,Y,1859,,Portrait bust on pedestal,,CPC,"Bronze, Saguenan red granite",,,C.L. Richter,,Cannstatter Volkfest Verin,,,,,Y,,10/31/1934,,Writer,,992070.9000286311,220943.48631231487
Queens County Farm Museum Landmark Plaque,Queens County Farm Museum Landmark Plaque,1791,O,Queens,,,13,23,"near farmhouse, Queens County Farm Museum, 73-50 Little Neck Parkway, Floral Park",Y,"January 6, 1993",ca. 1989,plaque on rock,"plaque h 1'7"" x w 1'10""; rock h 2'11"" x w 4'8"" x d 8""",,bronze; granite (rough),,"Tiffany & Co., 5th Avenue, New York, NY",,,New York Landmarks Preservation Foundation,,,,,,,,,,,,
Bolivar Plaza Plaque,Bolivar Plaza Plaque,130,Y,Manhattan,Central Park,M010,7,6,Bolivar Plaza wall; Central Park South and 6th Avenue,Y,"October 28, 1968",,Plaque,H: 1' W: 2',,Bronze,Guild Craft,Installed by D&J Sign Erectors,,,Bolivarian Society of the USA,,,,,Y,,,,,,990935.9954743087,218259.07665489614
Edward L. Swanstrom,,1531,N,Brooklyn,Columbus Park,B113C,2,33,Brooklyn Borough Hall,Y,1912,,panel,"38 ½""h x 57 ½""w",,bronze,,,Edmond T. Quinn,Frank J. Helmle,gift  $1500,,,,,,,,,,,,
Macaque and Orang-outang,Macaque and Orang-outang,1897,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo; School, south end of west façade",Y,1935,1935,bas-relief in two continuous sections,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,,,,,,,,,992260.4219593108,219093.09073489904
Indian Law Giver,,770,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,Brooklyn Museum; Eastern Parkway,Y,1909,,Statue,,,Indiana limestone,,,Attilio Piccirilli,,Purchase,,,,,,,,"$3,000",,,,
Cormorants,Cormorants,333,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo; Gallery, south end of west façade",Y,1935,1935,Bas-relief,,,Indiana limestone,,,Emil Siebern,Aymar Embury II,,,,,,,,,,"Animal: other, Sculpture",,992096.1161855608,218797.39316356182
public school #11,,1241,N,Queens,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
Michael Friedsam Memorial,,559,Y,Manhattan,Central Park,M010,7,6,Carousel Building,Y,"July 2, 1951",,Tablet affixed to exterior wall,"H: 1'4 ½"" W: 3'",,Bronze,,,,,Gift of the children of New York,,,,,Y,,,,Philanthropy,,991133.2792004645,219751.86238323152
Lions,Lions,923,O,Manhattan,Central Park,M010,7,6,"Central ParkZoo; Willard T.C. Johnson Penguin Building, northeast façade",Y,1935,1935,Bas-relief in three continuous sections,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,,,,,,,,,992207.3456218839,219183.05380955338
Charles B. Stover,,1508,Y,Manhattan,Central Park,M010,7,6,"Shakespeare Garden; top of ""rock of ages""",Y,1936,,Exedra,"H: 3'10"" W: 20' D: 13'",,Deer isle granite,,,,,Charles B. Stover Memorial Association Inc.,,,,,Y,,,,"Politcal Figure, Public Servant",,992748.7359433025,223460.27228923142
Evacuation Day Plaque,,2071,Y,,,M007,1,1,,Y,,,Plaque on flagstaff,,,Bronze,,,,,,,,,,Y,,,,,,,
Boys High School Plaque,Boys High School Plaque,146,N,Brooklyn,,,3,36,"Boys and Girls High School, Marcy and Putnam Avenues",Y,,,plaque,,,,,,,,$60; gift,,,,,,,,,,,,
Group of Bears,Group of Bears,646,Y,Manhattan,Central Park,M010,7,6,"Pat Hoffman Friedman Playground, 5th Avenue and 79th Street",Y,"October 11, 1990",1989,"Group of three on integral, graduated plinth on circular pedestal with five steps; plaque","Group H: 7'4"" W: 6' D: 4'8""; Pedestal H: 1'  Diameter: 20'; Plaque H: 1'4"" W: 9""; Weight: 1,500 pounds",CPC,Group and plaque--bronze; Pedestal--granite,Paul King Foundry,,Paul Howard Manship,Bruce Kelly / David Varnell,Samuel N. Friedman,,,,,Y,,,,Animal: other,,994236.1935983002,222557.67173223197
Rudolph B. Taylor Plaque,,1536,Y,Manhattan,Central Park,M010,7,6,"Conservatory Garden, 105th St and 5th Avenue",Y,"August 8, 1985",,Tablet,"6""h x 8""w",,Bronze,,,,,,,,,,Y,,,,Public Servant,,,
Rocky Mountain Sheep,Rocky Mountain Sheep,1365,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo; Gallery, center of east façade",Y,1935,1935,Bas-relief,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,,,,,,,Animal: other,,992178.0464678854,218767.57793447375
Sergeant Joyce Kilmer,,862,Y,Manhattan,Central Park,M010,7,6,West mall near 67th Street,Y,,,Plaque on plinth,"Plaque H: 8"" W: 10""; Plinth H: 1'1"" W: 1'3"" D: 6""",,"Bronze, cast stone",,,,,,,,,,Y,,,,"World War I, War Memorial, Writer",,991800.2709767222,220324.03381106257
"Chidwick, Rt. Rev. Msgr. John P.",,1958,Y,Manhattan,,M010,7,6,"Maine Monument, Columbus Circle, 59th Street and 8th Avenue",Y,1935,,Two tablets,"1'1""h x 1'5""w",,Bronze,,,Charles Keck,,Gift of Spanish War Veterans,,,,,Y,,,,"Sculpture, Religious Leader",,989526.2771651447,219160.21756914258
Dancing Goat,Dancing Goat,591,Y,Manhattan,Central Park,M010,7,6,Central Park Wildlife Center; niche at east end of southern exterior wall,Y,1937,1937,Goat standing on hind legs on integral plinth on pedestal in center of fountain basin,"H: 6'6""",CPC,Bronze,,,Frederick George Richard Roth,,,,,,,Y,,,,"Animal: other, Sculpture",,992027.971636802,218823.4209986478
Tigers,Tigers,1546,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo; Central Park Wildlife Center, center of west façade",Y,1935,1935,Bas-relief in three continuous sections,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,,,,,,,,,991949.4425943941,218880.64168472588
Chimpanzee,Chimpanzee,239,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo; Zoo School, north end of east façade",Y,1935,1935,Bas-relief,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,,,,,,,"Sculpture, Animal: other",,992346.7876002192,219070.91623856127
Verrazzano Bridge Engineering Memorial,,1625,Y,Brooklyn,John Paul Jones Park,B035,10,43,On loan to the TBTA - 2004 (J. Kuhn),L,1963 (c),,"Artifact cable, steel cage",,,"cable, steel",,,,,,,,,,,,,,,,,
Honey Bear,Honey Bear,97,Y,Manhattan,Central Park,M010,7,6,Central Park Zoo; in exterior wall niche at northeast corner of zoo near Delcorte Clock,Y,"May 17, 1937",ca. 1937,Fountain figure on ornamented integral plinth,"H: 6'6""",CPC,Bronze,,,Frederick George Richard Roth,,,,,,,Y,,,,"Sculpture, Animal: other",,992218.3085264713,219153.33798973262
County Court House,county court house,338,N,Manhattan,,M030B,1,1,"COUNTY COURT HOUSE; Foley Square, Centre Street between Pearl and Worth Streets",Y,,,6 tablets and 4 busts,,,,,,,,,,,,,,,,,,,,
Ponies,Ponies,1207,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo; Central Park Wildlife Center, west side of south façade",Y,1935,1935,Bas-relief,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,,,,,,,,,991956.9232224673,218863.4898161441
Ericsson Tablet,"ericsson, john",453,Y,Manhattan,,,0,0,,M,,,,,,,,,,,,,,,,,,,,,,,
Brownsville Boys Club,brownsville boys club,181,Y,Brooklyn,Brownsville Recreation Center and Playground,B270,16,42,1555 Linden Blvd. - Stolen?,M,"January 1, 1955",,Tablet on brick wall - Stolen?,,,Bronze,,,,,,,,,,,,,,,,,
Printing,Printing,1221,N,Manhattan,,,0,0,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, third from left",Y,1905,ca. 1905,male figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
Brooklyn Bridge Tablets,Brooklyn Bridge Tablets,172,N,Brooklyn,,,2,33,BROOKLYN BRIDGE; Brooklyn and Manhattan towers of bridge,Y,,,Pamphlet,,,,,,,,,,,,,,,,,,,,
progress,,1224,N,Manhattan,,,1,1,"MUNICIPAL BLDG, CHAMB. ARCH; chambers and centre st.",Y,,,(2) circular panels,"9'diam,",,maine granite,,,Adolph Alexander Weinman,,purchase; $2624 for two,,,,,,,,,,,,
Alexander Hamilton,"Hamilton, Alexander",662,Y,Manhattan,Central Park,M010,7,6,"East Drive, opposite 83rd Street",Y,"November 20, 1880",1880,"Standing figure (over life-size) on intergral plinth, on pedestal","Total H: 15'5"" W: 7'10"" D: 7'10""",CPC,Westerly granite,,,Carl H. Conrads,,"John C. Hamilton, a grandson",,,,,Y,,,,"War Memorial, Revolutionary War",,994064.4272095561,223826.73185814917
"Louis Valentino, Jr. Memorial",,1993,Y,Brooklyn,,B019,6,39,On Court Street,Y,,,Inscribed stele and boulder,,,Stone,,,,,,,,,,Y,,,,,,985312.2206326425,187600.14847156405
Navigation,Navigation,1087,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, fifth from left",Y,1905,ca. 1905,standing female figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
Cape Coral Roses,cape coral roses,212,Y,Manhattan,Central Park,M010,7,6,"Conservatory Garden, 5th Avenue and 108th Street",M,1966,,Tablet set on plinth,"H: 5"" W: 11""",,"Bronze, granite",,,,,Garden of the Patriots,,,,,,,,,,,,
"williams, addie d",,1707,N,Brooklyn,,,5,37,"P.S. 159; pitking ave, hemlock and chestnut st.",Y,1925,,tablet,,,bronze,j. and r. lamb,,,,gift,,,,,,,,,,,,
lycurgus,,950,N,Manhattan,,,5,2,APPELLATE COURT BUILDING; madison ave at 25th st,Y,1900,,,,,,,,george e. bissell,,"purchase, $6000. or $9000.",,,,,,,,,,,,
Rose Garden Stairway,,1380,O,the Bronx,Bronx Park,X002,14,12,New York Botanical Garden,Y,1917,,"Tablet, decorative","H: 11¾"" W: 18 ¼"" D:¾""d",,Bronze,Gorham Co.,,John R. Brinley,,Purchase,,,,,,,,150.00,,,,
Murray Kaye,,842,Y,Manhattan,Central Park,M010,7,6,East Drive and E. 72nd St. lawn,M,"October, 1952",,plaque on plinth --removed (see sheet),see memo,,"bronze, granite",,,,,mrs. bella kaye,,,,,,,,,,,,
Dover Patrol,dover patrol monument,397,Y,Brooklyn,John Paul Jones Park,B035,10,43,FORT HAMILTON PARK; Ft. Hamilton Pkwy and Shore Road,Y,1931,,Obelisk,"H: 75' W: 21'6"" D: 21'6""",,Westerly granite,,,,Sir Aston Webb P.R.A.. & Son,English Public Subscription,,,,,Y,,,,"World War I, War Memorial",,974769.3834506422,162038.22977922857
Gorilla,Gorilla,600,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo; School, south end of east façade",Y,1935,1935,Bas-relief,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,,,,,,,"Animal: other, Sculpture",,992335.5845386386,219054.1738179773
Ginny,,587,O,Manhattan,Central Park,M010,7,6,"Central Park Zoo, Eland Cage",M,"March 23, 1976",,2 tablets,"H: 9"" W: 20"" D: ½""",,Bronze,,,,,Gordon's Dry Gin Company,,,,,,,,,,,,
Victor Herbert,"Herbert, Victor",707,Y,Manhattan,Central Park,M010,7,6,"Mall, across from Bandshell",Y,1927,ca. 1927,Bust on pedestal,"Total H: 11'7"" W: 4'8"" D: 4'3""",CPC/SF,"Bronze, Stony Creek granite",,,Edmond Thomas Quinn,,"American, Society of Composers, Authors and Publishers",,,,,Y,,,,Composer/Musician,,991944.0006761402,220790.42559480667
Park Employees Memorial,,1156,Y,Manhattan,Central Park,M010,7,6,"West of Mall, lawn north of the Sheep Meadow",N,1946,,Plaque on boulder,"H: 1'9"" W: 2'3""",,Bronze,,,DPR,,Catholic Guild of the Department of Parks,,,,,,,,200.00,"World War II, War Memorial, Public Servant",,,
Sir Walter Scott,,1411,Y,Manhattan,Central Park,M010,7,6,Mall,Y,"November 27, 1872",,Portrait statue on pedestal,"H: 18' W: 13'6"" D: 5'6""",CPC,"Bronze, Aberdeen granite",,,Sir John Steell,,Resident Scotsmen,,,,,Y,,,15000.00,Writer,,991875.5070467144,219870.4622116387
